,Daily_Rate
2020-08-29,15.867802
2020-08-30,15.865471
2020-08-31,15.871
2020-09-01,15.873303
2020-09-02,15.8606
2020-09-03,15.811406
2020-09-04,15.811767
2020-09-05,15.811767
2020-09-06,15.809162
2020-09-07,15.801147
2020-09-08,15.7991
2020-09-09,15.78898
2020-09-10,15.758696
2020-09-11,15.758598
2020-09-12,15.758598
2020-09-13,15.761387
2020-09-14,15.768895
2020-09-15,15.760196
2020-09-16,15.756781
2020-09-17,15.759096
2020-09-18,15.758845
2020-09-19,15.758845
2020-09-20,15.747865
2020-09-21,15.727694
2020-09-22,15.750204
2020-09-23,15.750305
2020-09-24,15.7683
2020-09-25,15.775265
2020-09-26,15.775265
2020-09-27,15.773572
2020-09-28,15.760304
2020-09-29,15.757502
2020-09-30,15.763606
2020-10-01,15.7492
2020-10-02,15.747137
2020-10-03,15.747138
2020-10-04,15.749893
2020-10-05,15.7302
2020-10-06,15.719106
2020-10-07,15.710098
2020-10-08,15.710973
2020-10-09,15.70386
2020-10-10,15.703859
2020-10-11,15.722935
2020-10-12,15.701707
2020-10-13,15.691595
2020-10-14,15.6989
2020-10-15,15.701594
2020-10-16,15.706362
2020-10-17,15.706357
2020-10-18,15.709113
2020-10-19,15.700805
2020-10-20,15.695997
2020-10-21,15.7
2020-10-22,15.709294
2020-10-23,15.708324
2020-10-24,15.708325
2020-10-25,15.735451
2020-10-26,15.702367
2020-10-27,15.7133
2020-10-28,15.700901
2020-10-29,15.700356
2020-10-30,15.661747
2020-10-31,15.661742
2020-11-01,15.706131
2020-11-02,15.733406
2020-11-03,15.711102
2020-11-04,15.723498
2020-11-05,15.694102
2020-11-06,15.68928
2020-11-07,15.68928
2020-11-08,15.670273
2020-11-09,15.666701
2020-11-10,15.651095
2020-11-11,15.650594
2020-11-12,15.6389
2020-11-13,15.637832
2020-11-14,15.637832
2020-11-15,15.634662
2020-11-16,15.650198
2020-11-17,15.630504
2020-11-18,15.620998
2020-11-19,15.6045
2020-11-20,15.600169
2020-11-21,15.600165
2020-11-22,15.595832
2020-11-23,15.639504
2020-11-24,15.648405
2020-11-25,15.659998
2020-11-26,15.640099
2020-11-27,15.639745
2020-11-28,15.639746
2020-11-29,15.634838
2020-11-30,15.656897
2020-12-01,15.660494
2020-12-02,15.660867
2020-12-03,15.667994
2020-12-04,15.668498
2020-12-05,15.668498
2020-12-06,15.662233
2020-12-07,15.677299
2020-12-08,15.677204
2020-12-09,15.686004
2020-12-10,15.710667
2020-12-11,15.71221
2020-12-12,15.71221
2020-12-13,15.681205
2020-12-14,15.738406
2020-12-15,15.710119
2020-12-16,15.689404
2020-12-17,15.711803
2020-12-18,15.709565
2020-12-19,15.709565
2020-12-20,15.744888
2020-12-21,15.660503
2020-12-22,15.668671
2020-12-23,15.696907
2020-12-24,15.689776
2020-12-25,15.584264
2020-12-26,15.584264
2020-12-27,15.689776
2020-12-28,15.720501
2020-12-29,15.725906
2020-12-30,15.731904
2020-12-31,15.7382
2021-01-01,15.842603
2021-01-02,15.842602
2021-01-03,15.714463
2021-01-04,15.739597
2021-01-05,15.696904
2021-01-06,15.698003
2021-01-07,15.700499
2021-01-08,15.692438
2021-01-09,15.699998
2021-01-10,15.739531
2021-01-11,15.649998
2021-01-12,15.662005
2021-01-13,15.659602
2021-01-14,15.660098
2021-01-15,15.660417
2021-01-16,15.660001
2021-01-17,15.718247
2021-01-18,15.699621
2021-01-19,15.708296
2021-01-20,15.738799
2021-01-21,15.729694
2021-01-22,15.721384
2021-01-23,15.721384
2021-01-24,15.731009
2021-01-25,15.710396
2021-01-26,15.729196
2021-01-27,15.710704
2021-01-28,15.710295
2021-01-29,15.708342
2021-01-30,15.708342
2021-01-31,15.718096
2021-02-01,15.729495
2021-02-02,15.7365
2021-02-03,15.720894
2021-02-04,15.690398
2021-02-05,15.683394
2021-02-06,15.683394
2021-02-07,15.691861
2021-02-08,15.661503
2021-02-09,15.659895
2021-02-10,15.659699
2021-02-11,15.6301
2021-02-12,15.619444
2021-02-13,15.618992
2021-02-14,15.612551
2021-02-15,15.621901
2021-02-16,15.620497
2021-02-17,15.629804
2021-02-18,15.661299
2021-02-19,15.640872
2021-02-20,15.640872
2021-02-21,15.635007
2021-02-22,15.6794
2021-02-23,15.6829
2021-02-24,15.679098
2021-02-25,15.697108
2021-02-26,15.704806
2021-02-27,15.704807
2021-02-28,15.699933
2021-03-01,15.728198
2021-03-02,15.682096
2021-03-03,15.670102
2021-03-04,15.691406
2021-03-05,15.69725
2021-03-06,15.69725
2021-03-07,15.691917
2021-03-08,15.729001
2021-03-09,15.729001
2021-03-10,15.729495
2021-03-11,15.699504
2021-03-12,15.701174
2021-03-13,15.701168
2021-03-14,15.707673
2021-03-15,15.712105
2021-03-16,15.6908
2021-03-17,15.714001
2021-03-18,15.681
2021-03-19,15.643464
2021-03-20,15.643464
2021-03-21,15.705198
2021-03-22,15.728504
2021-03-23,15.7648
2021-03-24,15.759606
2021-03-25,15.704796
2021-03-26,15.670001
2021-03-27,15.670001
2021-03-28,15.714662
2021-03-29,15.7204
2021-03-30,15.719855
2021-03-31,15.716602
2021-04-01,15.705099
2021-04-02,15.733079
2021-04-03,15.733079
2021-04-04,15.728602
2021-04-05,15.619789
2021-04-06,15.70171
2021-04-07,15.700602
2021-04-08,15.707707
2021-04-09,15.706507
2021-04-10,15.706507
2021-04-11,15.709673
2021-04-12,15.6897
2021-04-13,15.6916
2021-04-14,15.6701
2021-04-15,15.678181
2021-04-16,15.68359
2021-04-17,15.688932
2021-04-18,15.697279
2021-04-19,15.69334
2021-04-20,15.705004
2021-04-21,15.679504
2021-04-22,15.698803
2021-04-23,15.703699
2021-04-24,15.703699
2021-04-25,15.710322
2021-04-26,15.690469
2021-04-27,15.674795
2021-04-28,15.6601
2021-04-29,15.660101
2021-04-30,15.659799
2021-05-01,15.659799
2021-05-02,15.650619
2021-05-03,15.657729
2021-05-04,15.6656
2021-05-05,15.670407
2021-05-06,15.669702
2021-05-07,15.670976
2021-05-08,15.670976
2021-05-09,15.666019
2021-05-10,15.6672
2021-05-11,15.682805
2021-05-12,15.677996
2021-05-13,15.662104
2021-05-14,15.654671
2021-05-15,15.654665
2021-05-16,15.654349
2021-05-17,15.688002
2021-05-18,15.678398
2021-05-19,15.680805
2021-05-20,15.680706
2021-05-21,15.659312
2021-05-22,15.659312
2021-05-23,15.662071
2021-05-24,15.671205
2021-05-25,15.667694
2021-05-26,15.682944
2021-05-27,15.680294
2021-05-28,15.657916
2021-05-29,15.657923
2021-05-30,15.656573
2021-05-31,15.6965
2021-06-01,15.6806
2021-06-02,15.6906
2021-06-03,15.688096
2021-06-04,15.690561
2021-06-05,15.690562
2021-06-06,15.694687
2021-06-07,15.689105
2021-06-08,15.650029
2021-06-09,15.680086
2021-06-10,15.667206
2021-06-11,15.638846
2021-06-12,15.638846
2021-06-13,15.637366
2021-06-14,15.657656
2021-06-15,15.671506
2021-06-16,15.6462
2021-06-17,15.665402
2021-06-18,15.646874
2021-06-19,15.646875
2021-06-20,15.636595
2021-06-21,15.659604
2021-06-22,15.679799
2021-06-23,15.661102
2021-06-24,15.668971
2021-06-25,15.668434
2021-06-26,15.668434
2021-06-27,15.665027
2021-06-28,15.670493
2021-06-29,15.668608
2021-06-30,15.695293
2021-07-01,15.695908
2021-07-02,15.669617
2021-07-03,15.669617
2021-07-04,15.677741
2021-07-05,15.681097
2021-07-06,15.689405
2021-07-07,15.665899
2021-07-08,15.692996
2021-07-09,15.687463
2021-07-10,15.689999
2021-07-11,15.669955
2021-07-12,15.679694
2021-07-13,15.689609
2021-07-14,15.6989
2021-07-15,15.7028
2021-07-16,15.705524
2021-07-17,15.705525
2021-07-18,15.699808
2021-07-19,15.6717
2021-07-20,15.6659
2021-07-21,15.6713
2021-07-22,15.671903
2021-07-23,15.672015
2021-07-24,15.668668
2021-07-25,15.672322
2021-07-26,15.689973
2021-07-27,15.674429
2021-07-28,15.696568
2021-07-29,15.691037
2021-07-30,15.703824
2021-07-31,15.693807
2021-08-01,15.697559
2021-08-02,15.705729
2021-08-03,15.687786
2021-08-04,15.692799
2021-08-05,15.702574
2021-08-06,15.69738
2021-08-07,15.699795
2021-08-08,15.707432
2021-08-09,15.691261
2021-08-10,15.699413
2021-08-11,15.692621
2021-08-12,15.693547
2021-08-13,15.684194
2021-08-14,15.683058
2021-08-15,15.702851
2021-08-16,15.674079
2021-08-17,15.69734
2021-08-18,15.699317
2021-08-19,15.690887
2021-08-20,15.696105
2021-08-21,15.694934
2021-08-22,15.704518
2021-08-23,15.683705
2021-08-24,15.686681
2021-08-25,15.69954
2021-08-26,15.686557
2021-08-27,15.680771
2021-08-28,15.680458
2021-08-29,15.68189
2021-08-30,15.68632
2021-08-31,15.692917
2021-09-01,15.700665
2021-09-02,15.705294
2021-09-03,15.693975
2021-09-04,15.7038
2021-09-05,15.707443
2021-09-06,15.704025
2021-09-07,15.720398
2021-09-08,15.711445
2021-09-09,15.70845
2021-09-10,15.707661
2021-09-11,15.704079
2021-09-12,15.712867
2021-09-13,15.715179
2021-09-14,15.716289
2021-09-15,15.702563
2021-09-16,15.698454
2021-09-17,15.698276
2021-09-18,15.704002
2021-09-19,15.707503
2021-09-20,15.719921
2021-09-21,15.695442
2021-09-22,15.712331
2021-09-23,15.699408
2021-09-24,15.683974
2021-09-25,15.687907
2021-09-26,15.689882
2021-09-27,15.700484
2021-09-28,15.696179
2021-09-29,15.694851
2021-09-30,15.715218
2021-10-01,15.719969
2021-10-02,15.716907
2021-10-03,15.697723
2021-10-04,15.69928
2021-10-05,15.699475
2021-10-06,15.692733
2021-10-07,15.703037
2021-10-08,15.687693
2021-10-09,15.694967
2021-10-10,15.686991
2021-10-11,15.718198
2021-10-12,15.71016
2021-10-13,15.707796
2021-10-14,15.709267
2021-10-15,15.71065
2021-10-16,15.717634
2021-10-17,15.712606
2021-10-18,15.735703
2021-10-19,15.70299
2021-10-20,15.690094
2021-10-21,15.695553
2021-10-22,15.701061
2021-10-23,15.698884
2021-10-24,15.709576
2021-10-25,15.722969
2021-10-26,15.711767
2021-10-27,15.711048
2021-10-28,15.709135
2021-10-29,15.708851
2021-10-30,15.704464
2021-10-31,15.709297
2021-11-01,15.737623
2021-11-02,15.69283
2021-11-03,15.719599
2021-11-04,15.69631
2021-11-05,15.71097
2021-11-06,15.712535
2021-11-07,15.700773
2021-11-08,15.71172
2021-11-09,15.711016
2021-11-10,15.69503
2021-11-11,15.713
2021-11-12,15.725328
2021-11-13,15.725687
2021-11-14,15.72416
2021-11-15,15.727123
2021-11-16,15.712335
2021-11-17,15.7127
2021-11-18,15.691489
2021-11-19,15.691382
2021-11-20,15.699728
2021-11-21,15.696917
2021-11-22,15.712947
2021-11-23,15.715978
2021-11-24,15.71359
2021-11-25,15.715192
2021-11-26,15.712781
2021-11-27,15.723218
2021-11-28,15.735622
2021-11-29,15.71716
2021-11-30,15.74465
2021-12-01,15.69943
2021-12-02,15.710995
2021-12-03,15.706563
2021-12-04,15.708939
2021-12-05,15.708009
2021-12-06,15.721924
2021-12-07,15.698826
2021-12-08,15.715442
2021-12-09,15.706062
2021-12-10,15.700506
2021-12-11,15.693659
2021-12-12,15.71207
2021-12-13,15.706511
2021-12-14,15.729141
2021-12-15,15.74479
2021-12-16,15.735772
2021-12-17,15.739145
2021-12-18,15.732412
2021-12-19,15.729235
2021-12-20,15.703212
2021-12-21,15.705693
2021-12-22,15.747735
2021-12-23,15.698941
2021-12-24,15.696533
2021-12-25,15.704397
2021-12-26,15.713159
2021-12-27,15.710935
2021-12-28,15.721519
2021-12-29,15.697661
2021-12-30,15.691901
2021-12-31,15.704904
2022-01-01,15.707231
2022-01-02,15.689684
2022-01-03,15.742938
2022-01-04,15.725834
2022-01-05,15.714084
2022-01-06,15.70268
2022-01-07,15.71436
2022-01-08,15.705957
2022-01-09,15.701514
2022-01-10,15.725809
2022-01-11,15.700495
2022-01-12,15.709077
2022-01-13,15.672336
2022-01-14,15.678814
2022-01-15,15.678834
2022-01-16,15.674062
2022-01-17,15.709689
2022-01-18,15.735535
2022-01-19,15.710238
2022-01-20,15.733218
2022-01-21,15.711264
2022-01-22,15.711199
2022-01-23,15.707872
2022-01-24,15.694569
2022-01-25,15.732512
2022-01-26,15.729069
2022-01-27,15.718498
2022-01-28,15.72982
2022-01-29,15.726891
2022-01-30,15.723954
2022-01-31,15.715802
2022-02-01,15.708808
2022-02-02,15.700418
2022-02-03,15.722166
2022-02-04,15.721398
2022-02-05,15.721407
2022-02-06,15.703992
2022-02-07,15.732431
