,Daily_Rate
2019-11-11,16.123208
2019-11-12,16.126869
2019-11-13,16.10879
2019-11-14,16.111868
2019-11-15,16.107078
2019-11-16,16.107078
2019-11-17,16.107078
2019-11-18,16.104025
2019-11-19,16.108201
2019-11-20,16.074007
2019-11-21,16.076361
2019-11-22,16.083499
2019-11-23,16.083499
2019-11-24,16.083499
2019-11-25,16.082736
2019-11-26,16.113129
2019-11-27,16.095437
2019-11-28,16.098137
2019-11-29,16.096985
2019-11-30,16.096985
2019-12-01,16.096985
2019-12-02,16.09765
2019-12-03,16.07275
2019-12-04,16.095625
2019-12-05,16.096725
2019-12-06,16.117064
2019-12-07,16.117064
2019-12-08,16.117064
2019-12-09,16.119902
2019-12-10,16.094894
2019-12-11,16.136302
2019-12-12,16.126078
2019-12-13,16.097801
2019-12-14,16.097801
2019-12-15,16.097801
2019-12-16,16.091334
2019-12-17,16.017779
2019-12-18,16.006636
2019-12-19,16.031846
2019-12-20,16.021931
2019-12-21,16.021931
2019-12-22,16.021931
2019-12-23,16.016245
2019-12-24,16.034794
2019-12-25,16.029757
2019-12-26,16.022533
2019-12-27,16.013873
2019-12-28,16.013873
2019-12-29,16.013873
2019-12-30,16.00787
2019-12-31,16.033744
2020-01-01,16.017289
2020-01-02,16.017289
2020-01-03,16.016471
2020-01-04,16.016471
2020-01-05,16.016471
2020-01-06,16.010572
2020-01-07,16.048402
2020-01-08,16.042134
2020-01-09,16.006479
2020-01-10,15.96706
2020-01-11,15.96706
2020-01-12,15.96706
2020-01-13,15.825762
2020-01-14,15.906968
2020-01-15,15.852125
2020-01-16,15.834678
2020-01-17,15.804309
2020-01-18,15.804309
2020-01-19,15.804309
2020-01-20,15.79991
2020-01-21,15.760115
2020-01-22,15.772145
2020-01-23,15.777758
2020-01-24,15.746721
2020-01-25,15.746721
2020-01-26,15.746721
2020-01-27,15.777778
2020-01-28,15.766788
2020-01-29,15.775197
2020-01-30,15.778343
2020-01-31,15.779309
2020-02-01,15.779309
2020-02-02,15.779309
2020-02-03,15.783589
2020-02-04,15.804935
2020-02-05,15.775324
2020-02-06,15.754408
2020-02-07,15.733406
2020-02-08,15.733406
2020-02-09,15.733406
2020-02-10,15.75121
2020-02-11,15.70329
2020-02-12,15.697408
2020-02-13,15.702464
2020-02-14,15.671215
2020-02-15,15.671215
2020-02-16,15.671215
2020-02-17,15.662239
2020-02-18,15.611624
2020-02-19,15.582214
2020-02-20,15.577243
2020-02-21,15.536707
2020-02-22,15.536707
2020-02-23,15.536707
2020-02-24,15.545715
2020-02-25,15.537838
2020-02-26,15.558721
2020-02-27,15.570457
2020-02-28,15.613349
2020-02-29,15.613349
2020-03-01,15.613349
2020-03-02,15.575061
2020-03-03,15.620065
2020-03-04,15.621143
2020-03-05,15.627974
2020-03-06,15.617427
2020-03-07,15.617427
2020-03-08,15.617427
2020-03-09,15.480415
2020-03-10,15.675557
2020-03-11,15.704692
2020-03-12,15.678387
2020-03-13,15.677246
2020-03-14,15.677246
2020-03-15,15.677246
2020-03-16,15.609144
2020-03-17,15.726059
2020-03-18,15.722585
2020-03-19,15.728882
2020-03-20,15.732382
2020-03-21,15.732382
2020-03-22,15.732382
2020-03-23,15.728446
2020-03-24,15.724106
2020-03-25,15.727113
2020-03-26,15.719927
2020-03-27,15.727734
2020-03-28,15.727734
2020-03-29,15.727734
2020-03-30,15.427507
2020-03-31,15.747053
2020-04-01,15.71597
2020-04-02,15.723024
2020-04-03,15.725085
2020-04-04,15.725085
2020-04-05,15.725085
2020-04-06,15.72962
2020-04-07,15.719178
2020-04-08,15.757687
2020-04-09,15.721649
2020-04-10,15.765535
2020-04-11,15.765535
2020-04-12,15.765535
2020-04-13,15.756883
2020-04-14,15.771308
2020-04-15,15.763314
2020-04-16,15.761577
2020-04-17,15.7331
2020-04-18,15.7331
2020-04-19,15.7331
2020-04-20,15.743075
2020-04-21,15.722964
2020-04-22,15.731393
2020-04-23,15.722479
2020-04-24,15.762272
2020-04-25,15.762272
2020-04-26,15.762272
2020-04-27,15.762195
2020-04-28,15.727483
2020-04-29,15.719295
2020-04-30,15.729521
2020-05-01,15.734125
2020-05-02,15.544639
2020-05-03,15.544639
2020-05-04,15.743304
2020-05-05,15.746294
2020-05-06,15.739493
2020-05-07,15.7536
2020-05-08,15.752993
2020-05-09,15.563556
2020-05-10,15.563556
2020-05-11,15.741498
2020-05-12,15.748304
2020-05-13,15.750097
2020-05-14,15.748908
2020-05-15,15.737807
2020-05-16,15.731499
2020-05-17,15.731499
2020-05-18,15.737496
2020-05-19,15.7904
2020-05-20,15.790699
2020-05-21,15.8216
2020-05-22,15.8629
2020-05-23,15.856029
2020-05-24,15.856029
2020-05-25,15.87422
2020-05-26,15.858798
2020-05-27,15.8626
2020-05-28,15.835305
2020-05-29,15.8465
2020-05-30,15.831605
2020-05-31,15.831605
2020-06-01,15.929396
2020-06-02,16.00065
2020-06-03,16.078347
2020-06-04,16.235998
2020-06-05,16.229908
2020-06-06,16.229907
2020-06-07,16.21461
2020-06-08,16.199196
2020-06-09,16.190797
2020-06-10,16.1855
2020-06-11,16.175995
2020-06-12,16.180678
2020-06-13,16.180677
2020-06-14,16.190311
2020-06-15,16.194004
2020-06-16,16.181295
2020-06-17,16.178917
2020-06-18,16.176397
2020-06-19,16.179148
2020-06-20,16.179148
2020-06-21,16.173505
2020-06-22,16.178595
2020-06-23,16.1696
2020-06-24,16.181004
2020-06-25,16.158607
2020-06-26,16.161454
2020-06-27,16.161454
2020-06-28,16.152164
2020-06-29,16.1552
2020-06-30,16.1494
2020-07-01,16.1276
2020-07-02,16.120077
2020-07-03,16.125387
2020-07-04,16.125386
2020-07-05,16.125099
2020-07-06,16.055299
2020-07-07,16.030497
2020-07-08,16.0195
2020-07-09,15.990307
2020-07-10,15.997344
2020-07-11,15.997344
2020-07-12,15.967732
2020-07-13,15.970904
2020-07-14,15.960385
2020-07-15,15.967495
2020-07-16,15.9505
2020-07-17,15.952578
2020-07-18,15.952578
2020-07-19,15.944208
2020-07-20,15.970097
2020-07-21,15.978596
2020-07-22,15.989767
2020-07-23,15.989007
2020-07-24,15.989979
2020-07-25,15.989978
2020-07-26,15.995268
2020-07-27,15.985099
2020-07-28,15.981502
2020-07-29,15.970997
2020-07-30,15.965399
2020-07-31,15.986412
2020-08-01,15.986412
2020-08-02,15.966629
2020-08-03,15.970991
2020-08-04,15.988199
2020-08-05,15.9967
2020-08-06,15.969696
2020-08-07,15.959148
2020-08-08,15.96
2020-08-09,16.031872
2020-08-10,15.984895
2020-08-11,15.979407
2020-08-12,15.9712
2020-08-13,15.928991
2020-08-14,15.930047
2020-08-15,15.930049
2020-08-16,15.930719
2020-08-17,15.9207
2020-08-18,15.935681
2020-08-19,15.930505
2020-08-20,15.9276
2020-08-21,15.933022
2020-08-22,15.93302
2020-08-23,15.92459
2020-08-24,15.891803
2020-08-25,15.902042
2020-08-26,15.8667
2020-08-27,15.870397
2020-08-28,15.867802
