,political_review,date,cleaned_text,cleaned_text1,cleaned_text2,LabelFromVADER,TopicNumber,TopicName,label
0,Parliament approves law setting up Egyptian Health Council ,2022-02-09,parliament approves law setting up egyptian health council ,approve law set,"['approve', 'law', 'set']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
1,New head of Egypt's Supreme Constitutional Court sworn in before Sisi,2022-02-09,new head of egypt is supreme constitutional court sworn in before sisi,new head constitutional court swear sisi,"['new', 'head', 'constitutional_court', 'swear', 'sisi']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
2,Egypt’s HR council hails as 'historic step' the appointment of Boulos Eskandar as head of Supreme Constitutional Court,2022-02-09,egypt s hr council hails as historic step the appointment of boulos eskandar as head of supreme constitutional court,hail historic step appointment eskandar head constitutional court,"['hail', 'historic', 'step', 'appointment', 'eskandar', 'head', 'constitutional_court']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
3,Sisi names first Christian as president of Egypt's Supreme Constitutional Court,2022-02-08,sisi names first christian as president of egypt is supreme constitutional court,sisi name first constitutional court,"['sisi', 'name', 'first', 'constitutional_court']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
4,Egyptian parliament rejects draft law imposing fine on parents of absentee students,2022-02-08,egyptian parliament rejects draft law imposing fine on parents of absentee students,egyptian reject draft law impose fine parent absentee student,"['egyptian', 'reject', 'draft', 'law', 'impose', 'fine', 'parent', 'absentee', 'student']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
5,Egypt's parliament to discuss new law easing real estate registration procedures ,2022-02-07,egypt is parliament to discuss new law easing real estate registration procedures ,parliament discuss new law ease real estate registration procedure,"['parliament', 'discuss', 'new', 'law', 'ease', 'real_estate', 'registration', 'procedure']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
6,Egypt targets listing more state-run companies on bourse in 2022: Cabinet statement,2022-02-01,egypt targets listing more state run companies on bourse in 2022 cabinet statement,target list more state run company statement,"['target', 'list', 'more', 'state', 'run', 'company', 'statement']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
7,Egyptian parliament rejects draft law imposing fines on parents of absentee students ,2022-01-31,egyptian parliament rejects draft law imposing fines on parents of absentee students ,egyptian reject draft law impose fine parent absentee student,"['egyptian', 'reject', 'draft', 'law', 'impose', 'fine', 'parent', 'absentee', 'student']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
8,Ramy Shaath’s allegations of mistreatment in prison aims to gain sympathy of foreign public: Egyptian security source,2022-01-29,ramy shaath s allegations of mistreatment in prison aims to gain sympathy of foreign public egyptian security source,allegation mistreatment prison aim gain sympathy foreign public egyptian security source,"['allegation', 'mistreatment', 'prison', 'aim', 'gain', 'sympathy', 'foreign', 'public', 'egyptian', 'security', 'source']",pos,1,Political Leaders in Egypt,Political Leaders in Egypt_pos
9,Egypt's Senate to resume discussions over new labour law on Sunday and Monday,2022-01-29,egypt is senate to resume discussions over new labour law on sunday and monday,resume discussion new labour law,"['resume', 'discussion', 'new', 'labour', 'law']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
10,Government refutes rumours of 'lay offs' amid digital transformation strategy,2022-01-28,government refutes rumours of lay offs amid digital transformation strategy,government refute rumours lay off digital transformation strategy,"['government', 'refute', 'rumours', 'lay', 'off', 'digital', 'transformation', 'strategy']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
11,"Egypt's parliament speaker, head of NCHR discuss implementing new human rights strategy",2022-01-25,egypt is parliament speaker head of nchr discuss implementing new human rights strategy,parliament head discuss implement new human right strategy,"['parliament', 'head', 'discuss', 'implement', 'new', 'human_right', 'strategy']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
12,"Egypt's parliament approves five economic laws, including one to engage private sector in economic development",2022-01-25,egypt is parliament approves five economic laws including one to engage private sector in economic development,parliament approve economic law include engage private sector economic development,"['parliament', 'approve', 'economic', 'law', 'include', 'engage', 'private_sector', 'economic', 'development']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
13,Egypt to focus on how private sector can play role in combating climate change at COP27: FM,2022-01-24,egypt to focus on how private sector can play role in combating climate change at cop27 fm,focus how private sector can play role combat climate change,"['focus', 'how', 'private_sector', 'can', 'play', 'role', 'combat', 'climate_change']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
14,Egypt’s House approves EGP 800 million loan for ‘Super Jet’ to operate in NAC,2022-01-24,egypt s house approves egp 800 million loan for super jet to operate in nac,approve egp loan super jet operate,"['approve', 'egp', 'loan', 'super', 'jet', 'operate']",pos,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_pos
15,President Sisi praises sacrifices of police officers in defeating terrorism on their 70th national day ,2022-01-23,president sisi praises sacrifices of police officers in defeating terrorism on their 70th national day ,sisi praise sacrifice police officer defeat terrorism 70th national day,"['sisi', 'praise', 'sacrifice', 'police_officer', 'defeat', 'terrorism', 'th', 'national', 'day']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
16,Egypt's House of Representatives to discuss draft law on creating 'Tourism and Antiquities Fund',2022-01-23,egypt is house of representatives to discuss draft law on creating tourism and antiquities fund ,discuss draft law create tourism antiquity fund,"['discuss', 'draft', 'law', 'create', 'tourism', 'antiquity', 'fund']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
17,Sisi orders raising minimum wage in fiscal year 2022/23,2022-01-18,sisi orders raising minimum wage in fiscal year 2022 23,sisi order raise minimum wage fiscal year,"['sisi', 'order', 'raise', 'minimum', 'wage', 'fiscal', 'year']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
18,"PM denies Egyptian-US ties are 'lukewarm,' comments on GERD and listing army companies on EGX",2022-01-16,pm denies egyptian us ties are lukewarm comments on gerd and listing army companies on egx,deny egyptian tie lukewarm comment gerd list army company egx,"['deny', 'egyptian', 'tie', 'lukewarm', 'comment', 'gerd', 'list', 'army', 'company', 'egx']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
19,Egypt’s Senate rejects proposal on paternal leave,2022-01-16,egypt s senate rejects proposal on paternal leave,reject proposal paternal leave,"['reject', 'proposal', 'paternal', 'leave']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
20,Egypt's Senate to resume discussions over new labour law ,2022-01-16,egypt is senate to resume discussions over new labour law ,resume discussion new labour law,"['resume', 'discussion', 'new', 'labour', 'law']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
21,Egypt’s parliament decries Human Rights Watch's 'false' reports,2022-01-15,egypt s parliament decries human rights watch is false reports,decry human right watch false report,"['decry', 'human_right', 'watch', 'false', 'report']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
22,President Sisi declares 2022 as the Year of Civil Society in WYF closing ceremony ,2022-01-13,president sisi declares 2022 as the year of civil society in wyf closing ceremony ,sisi declare year civil society close ceremony,"['sisi', 'declare', 'year', 'civil_society', 'close', 'ceremony']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
