,political_review,date,cleaned_text,cleaned_text1,cleaned_text2,LabelFromVADER,TopicNumber,TopicName,label
23,IMF imposed no obligatory track on Egypt in reform programme: Sisi,2022-01-13,imf imposed no obligatory track on egypt in reform programme sisi,impose obligatory track sisi,"['impose', 'obligatory', 'track', 'sisi']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
24,Egypt has political will to let youth take lead in implementing new human rights strategy: NCHR president,2022-01-11,egypt has political will to let youth take lead in implementing new human rights strategy nchr president,political will let youth take lead implement new human right strategy,"['political', 'will', 'let', 'youth', 'take', 'lead', 'implement', 'new', 'human_right', 'strategy']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
25,Egypt among most vulnerable states to climate change despite low emissions: PM Madbouly to WYF,2022-01-11,egypt among most vulnerable states to climate change despite low emissions pm madbouly to wyf,most vulnerable state climate change low emission pm madbouly,"['most', 'vulnerable', 'state', 'climate_change', 'low', 'emission', 'pm', 'madbouly']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
26,"Egypt's health initiatives, economic reforms cushioned blow of coronavirus, President Sisi says at WYF",2022-01-10,egypt is health initiatives economic reforms cushioned blow of coronavirus president sisi says at wyf,health initiative economic reform cushion blow say,"['health', 'initiative', 'economic', 'reform', 'cushion', 'blow', 'say']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
27,Egypt’s Dar Al-Ifta prohibits deepfake video and audio clips ,2022-01-07,egypt s dar al ifta prohibits deepfake video and audio clips ,prohibit deepfake video audio clip,"['prohibit', 'deepfake', 'video', 'audio', 'clip']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
28,EgyptAir to operate flight from Morocco to repatriate nationals amid border closure,2022-01-07,egyptair to operate flight from morocco to repatriate nationals amid border closure,egyptair operate flight repatriate national border closure,"['egyptair', 'operate', 'flight', 'repatriate', 'national', 'border', 'closure']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
29,Egypt’s President Sisi attends Christmas mass at Nativity of the Christ Cathedral,2022-01-06,egypt s president sisi attends christmas mass at nativity of the christ cathedral,sisi attend nativity,"['sisi', 'attend', 'nativity']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
30,Egypt’s governorates are priority for National Council for Human Rights: President Moushira Khattab,2022-01-05,egypt s governorates are priority for national council for human rights president moushira khattab,priority,['priority'],neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
31,Egypt keen on supporting Chad during transitional phase: President Sisi,2022-01-05,egypt keen on supporting chad during transitional phase president sisi,support transitional phase president sisi,"['support', 'transitional', 'phase', 'president', 'sisi']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
32,"Egypt's parliament approves laws regulating FinTech, renewable energy development ",2022-01-05,egypt is parliament approves laws regulating fintech renewable energy development ,parliament approve law regulate fintech renewable energy development,"['parliament', 'approve', 'law', 'regulate', 'fintech', 'renewable_energy', 'development']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
33,Egypt’s parliament to discuss new law on economic planning policies,2022-01-03,egypt s parliament to discuss new law on economic planning policies,discuss new law economic planning policy,"['discuss', 'new', 'law', 'economic', 'planning', 'policy']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
34,"Sisi reiterates support for UN in face of crime, illicit drugs and terrorism threats",2022-01-02,sisi reiterates support for un in face of crime illicit drugs and terrorism threats,sisi reiterate support face crime illicit drug terrorism threat,"['sisi', 'reiterate', 'support', 'face', 'crime', 'illicit', 'drug', 'terrorism', 'threat']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
35,"All religions advocate peace, but problem is misinterpretations, Egyptian minister tells French ambassador",2022-01-02,all religions advocate peace but problem is misinterpretations egyptian minister tells french ambassador,religion advocate peace problem tell french ambassador,"['religion', 'advocate', 'peace', 'problem', 'tell', 'french', 'ambassador']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
36,Egypt's Senate gives preliminary approval to new labour law,2022-01-02,egypt is senate gives preliminary approval to new labour law,give preliminary approval new labour law,"['give', 'preliminary', 'approval', 'new', 'labour', 'law']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
37,2021 Yearender: Major events that shaped Egypt this year,2021-12-31,2021 yearender major events that shaped egypt this year,yearender major event shape year,"['yearender', 'major', 'event', 'shape', 'year']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
38,Egyptian parliament issues report on 2021 achievements,2021-12-31,egyptian parliament issues report on 2021 achievements,egyptian issue report achievement,"['egyptian', 'issue', 'report', 'achievement']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
39,Egyptian Center for Strategic Studies releases Outlook 2022 in English and Arabic,2021-12-31,egyptian center for strategic studies releases outlook 2022 in english and arabic,strategic study release outlook,"['strategic', 'study', 'release', 'outlook']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
40,"Egypt invested EGP 16 bln in water rationalisation, management projects in 2021: Report",2021-12-29,egypt invested egp 16 bln in water rationalisation management projects in 2021 report,invest bln water rationalisation management project report,"['invest', 'bln', 'water', 'rationalisation', 'management', 'project', 'report']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
41,Sisi reiterates call for participation of private sector in new projects,2021-12-28,sisi reiterates call for participation of private sector in new projects,sisi reiterate call participation private sector new project,"['sisi', 'reiterate', 'call', 'participation', 'private_sector', 'new', 'project']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
42,"Egypt's parliament approves three laws on renewable energy, university professors, Academy of Arts",2021-12-27,egypt is parliament approves three laws on renewable energy university professors academy of arts,parliament approve law renewable energy professor,"['parliament', 'approve', 'law', 'renewable_energy', 'professor']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
43,Egypt's parliament rejects granting art-centric syndicates judicial powers to crack down on 'substandard artists',2021-12-26,egypt is parliament rejects granting art centric syndicates judicial powers to crack down on isubstandard artists ,parliament reject grant art centric syndicate judicial power crack isubstandard artist,"['parliament', 'reject', 'grant', 'art', 'centric', 'syndicate', 'judicial', 'power', 'crack', 'isubstandard', 'artist']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
44,"Egypt's parliament to discuss new laws, question education minister",2021-12-25,egypt is parliament to discuss new laws question education minister,parliament discuss new law question education minister,"['parliament', 'discuss', 'new', 'law', 'question', 'education', 'minister']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
45,"Sisi calls for legalising unlicensed factories, says ‘state’s goal is not taxation’",2021-12-25,sisi calls for legalising unlicensed factories says state s goal is not taxation ,sisi call legalise unlicensed factory say state goal taxation,"['sisi', 'call', 'legalise', 'unlicensed', 'factory', 'say', 'state', 'goal', 'taxation']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
46,Egyptian cabinet to hold 1st meeting in new capital Thursday,2021-12-23,egyptian cabinet to hold 1st meeting in new capital thursday,egyptian hold 1st meeting new capital,"['egyptian', 'hold', 'st', 'meeting', 'new', 'capital']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
47,Reducing carbon emissions: Egypt’s project to replace and convert cars to run on natural gas,2021-12-22,reducing carbon emissions egypt s project to replace and convert cars to run on natural gas,reduce carbon emission project replace convert car run natural gas,"['reduce', 'carbon', 'emission', 'project', 'replace', 'convert', 'car', 'run', 'natural_gas']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
48,Egypt's senate discusses climate change threat to Alexandria after dire warning from UK PM,2021-12-20,egypt is senate discusses climate change threat to alexandria after dire warning from uk pm,discuss climate change threat dire warning,"['discuss', 'climate_change', 'threat', 'dire', 'warning']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
49,Egypt recovers 26 ancient artefacts smuggled to Spain in 2014,2021-12-20,egypt recovers 26 ancient artefacts smuggled to spain in 2014,ancient artefact smuggle,"['ancient', 'artefact', 'smuggle']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
50,MPs express concerns regarding latest coronavirus developments,2021-12-19,mps express concerns regarding latest coronavirus developments,concern regard late coronavirus development,"['concern', 'regard', 'late', 'coronavirus', 'development']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
51,"IAEA voices 'full' support to Egypt's Dabaa nuclear power plant, says 'major' step toward peaceful uses",2021-12-16,iaea voices full support to egypt is dabaa nuclear power plant says amajor step toward peaceful uses,voice full support say step peaceful use,"['voice', 'full', 'support', 'say', 'step', 'peaceful', 'use']",pos,1,Political Leaders in Egypt,Political Leaders in Egypt_pos
52,"Egypt has adopted measures to combat illicit financial flows, official tells UN anti-corruption conference",2021-12-15,egypt has adopted measures to combat illicit financial flows official tells un anti corruption conference,adopt measure combat illicit flow official tell,"['adopt', 'measure', 'combat', 'illicit', 'flow', 'official', 'tell']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
53,Amendments to Egypt's VAT law get final approval from parliament,2021-12-14,amendments to egypt is vat law get final approval from parliament,amendment law final approval parliament,"['amendment', 'law', 'final', 'approval', 'parliament']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
54,Egypt's parliament postpones discussion of amendments imposing sweeping tax hikes,2021-12-14,egypt is parliament postpones discussion of amendments imposing sweeping tax hikes,parliament postpone discussion amendment impose sweeping tax hike,"['parliament', 'postpone', 'discussion', 'amendment', 'impose', 'sweeping', 'tax', 'hike']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
55,MPs ask for explanation regarding Canada's decision to ban travel from Egypt,2021-12-12,mps ask for explanation regarding canada is decision to ban travel from egypt,ask explanation regard decision ban travel,"['ask', 'explanation', 'regard', 'decision', 'ban', 'travel']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
56,"Egypt's parliament to question education minister on packed classrooms, high fees and lack of teachers",2021-12-11,egypt is parliament to question education minister on packed classrooms high fees and lack of teachers,parliament question education minister pack classroom high fee lack teacher,"['parliament', 'question', 'education', 'minister', 'pack', 'classroom', 'high', 'fee', 'lack', 'teacher']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
57,Egypt keen to consolidate citizens' rights: President Sisi,2021-12-11,egypt keen to consolidate citizens rights president sisi,consolidate citizen right sisi,"['consolidate', 'citizen', 'right', 'sisi']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
58,12 organisations commend ‘important positive steps’ to consolidate human rights in Egypt,2021-12-09,12 organisations commend important positive steps to consolidate human rights in egypt,organisation commend important positive step consolidate human right,"['organisation', 'commend', 'important', 'positive', 'step', 'consolidate', 'human_right']",pos,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_pos
59,Organisation of Islamic Cooperation can benefit from Egypt’s prestigious Islamic institutions: Sisi,2021-12-07,organisation of islamic cooperation can benefit from egypt s prestigious islamic institutions sisi,can benefit prestigious institution sisi,"['can', 'benefit', 'prestigious', 'institution', 'sisi']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
60,In Photos: Egypt’s housing minister inspects Tanzania’s Julius Nyerere Hydroelectric Power Project,2021-12-07,in photos egypt s housing minister inspects tanzania s julius nyerere hydroelectric power project,photo inspect nyerere power project,"['photo', 'inspect', 'nyerere', 'power', 'project']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
61,Egypt signs EGP 3.5-bln-deal to revamp historical Tahrir Complex ,2021-12-07,egypt signs egp 3 5 bln deal to revamp historical tahrir complex ,sign deal revamp historical complex,"['sign', 'deal', 'revamp', 'historical', 'complex']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
62,"Ethiopia 'tells lies' about Egypt's water, share in the Nile: Irrigation minister",2021-12-05,ethiopia notells lies about egypt is water share in the nile irrigation minister,lie water share,"['lie', 'water', 'share']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
63,Egyptian and Belgian speakers of parliament discuss strengthening relations,2021-12-02,egyptian and belgian speakers of parliament discuss strengthening relations,egyptian belgian speaker parliament discuss strengthen relation,"['egyptian', 'belgian', 'speaker', 'parliament', 'discuss', 'strengthen', 'relation']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
64,House amends law to give greater incentives for public institutions to set up non-profit universities,2021-12-01,house amends law to give greater incentives for public institutions to set up non profit universities,amend give great incentive public institution set non profit university,"['amend', 'give', 'great', 'incentive', 'public', 'institution', 'set', 'non', 'profit', 'university']",pos,1,Political Leaders in Egypt,Political Leaders in Egypt_pos
65,"President Sisi ratifies law on measures to fight epidemics, pandemics",2021-11-30,president sisi ratifies law on measures to fight epidemics pandemics,ratify law measure fight epidemic pandemic,"['ratify', 'law', 'measure', 'fight', 'epidemic', 'pandemic']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
66,Egypt's parliament to grant art-centric syndicates judicial powers to crack down on 'substandard artists',2021-11-29,egypt is parliament to grant art centric syndicates judicial powers to crack down on isubstandard artists ,parliament grant art centric syndicate judicial power crack isubstandard artist,"['parliament', 'grant', 'art', 'centric', 'syndicate', 'judicial', 'power', 'crack', 'isubstandard', 'artist']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
67,Egypt's parliament approves 10 percent customs tax on imported mobile phones,2021-11-28,egypt is parliament approves 10 percent customs tax on imported mobile phones,parliament approve percent custom tax import mobile phone,"['parliament', 'approve', 'percent', 'custom', 'tax', 'import', 'mobile', 'phone']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
68,Egypt's parliament to discuss new laws on non-profit universities and financial technology,2021-11-27,egypt is parliament to discuss new laws on non profit universities and financial technology,parliament discuss new law non profit university financial technology,"['parliament', 'discuss', 'new', 'law', 'non', 'profit', 'university', 'financial', 'technology']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
69,Egypt's senate proposes package of tax reforms to boost capital market investments,2021-11-22,egypt is senate proposes package of tax reforms to boost capital market investments,propose package tax reform boost capital market investment,"['propose', 'package', 'tax', 'reform', 'boost', 'capital', 'market', 'investment']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
70,Egypt's Senate provisionally approves law granting senior citizens social and financial rights,2021-11-21,egypt is senate provisionally approves law granting senior citizens social and financial rights,provisionally approve law grant senior citizen social financial right,"['provisionally', 'approve', 'law', 'grant', 'senior', 'citizen', 'social', 'financial', 'right']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
71,Egypt's Senate to discuss new law on senior citizens' rights ,2021-11-20,egypt is senate to discuss new law on senior citizens rights ,discuss new law senior citizen right,"['discuss', 'new', 'law', 'senior', 'citizen', 'right']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
72,President Sisi and First Lady Entissar receive Prince Charles and Duchess Camilla at Ittihadiya Palace,2021-11-18,president sisi and first lady entissar receive prince charles and duchess camilla at ittihadiya palace,first lady receive,"['first', 'lady', 'receive']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
73,"Prince Charles, Duchess Camilla in Egypt for first visit since 2006",2021-11-18,prince charles duchess camilla in egypt for first visit since 2006,first visit,"['first', 'visit']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
74,Egypt to form committee to prepare for COP27 in Sharm El-Sheikh ,2021-11-17,egypt to form committee to prepare for cop27 in sharm el sheikh ,form prepare,"['form', 'prepare']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
75,"Kemet Boutros Ghali Foundation honours Egyptian renowned Juror George Abi-Saab, Tanzanian diplomat Salim Ahmed Salim",2021-11-16,kemet boutros ghali foundation honours egyptian renowned juror george abi saab tanzanian diplomat salim ahmed salim,honour egyptian renowned diplomat,"['honour', 'egyptian', 'renowned', 'diplomat']",pos,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_pos
76,"Egypt, Hungary to set up parliamentary friendship association",2021-11-16,egypt hungary to set up parliamentary friendship association,set parliamentary,"['set', 'parliamentary']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
77,"Egypt's parliament approves new law on measures to fight epidemics, pandemics",2021-11-16,egypt is parliament approves new law on measures to fight epidemics pandemics,parliament approve new law measure fight epidemic pandemic,"['parliament', 'approve', 'new', 'law', 'measure', 'fight', 'epidemic', 'pandemic']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
78,Egypt parliament approves law encouraging private participation in infrastructure projects,2021-11-15,egypt parliament approves law encouraging private participation in infrastructure projects,approve law encourage private participation infrastructure project,"['approve', 'law', 'encourage', 'private', 'participation', 'infrastructure', 'project']",pos,1,Political Leaders in Egypt,Political Leaders in Egypt_pos
79,Egypt's parliament to discuss new law on fighting epidemics and pandemics,2021-11-13,egypt is parliament to discuss new law on fighting epidemics and pandemics,parliament discuss new law fight epidemic pandemic,"['parliament', 'discuss', 'new', 'law', 'fight', 'epidemic', 'pandemic']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
80,"Scorpion stings kill 3, injure 450 amid bad weather in Egypt's Aswan",2021-11-13,scorpion stings kill 3 injure 450 amid bad weather in egypt is aswan,scorpion sting kill injure bad weather,"['scorpion', 'sting', 'kill', 'injure', 'bad_weather']",neg,0,Political Negative Reviews Initiatives,Political Negative Reviews Initiatives_neg
81,Egypt officially selected to host UN COP27 ,2021-11-11,egypt officially selected to host un cop27 ,officially select host,"['officially', 'select', 'host']",neg,"0,1",Political Negative Reviews Initiatives & Political Leaders in Egypt,Political Negative Reviews Initiatives & Political Leaders in Egypt_neg
82,"Egypt rehabilitates over 3,000 kms of irrigation canals: Minister",2021-11-08,egypt rehabilitates over 3 000 kms of irrigation canals minister,rehabilitate kms irrigation minister,"['rehabilitate', 'kms', 'irrigation', 'minister']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
83,Senate approves new law to streamline economic planning policies,2021-11-07,senate approves new law to streamline economic planning policies,approve new law streamline economic planning policy,"['approve', 'new', 'law', 'streamline', 'economic', 'planning', 'policy']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
84,Sisi orders accelerating development of Sharm El-Sheikh ahead of COP27,2021-11-06,sisi orders accelerating development of sharm el sheikh ahead of cop27,sisi order accelerate development ahead,"['sisi', 'order', 'accelerate', 'development', 'ahead']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
85,Former Egyptian interior minister Hassan El-Alfi dies at 85,2021-11-04,former egyptian interior minister hassan el alfi dies at 85,former egyptian die,"['former', 'egyptian', 'die']",neg,1,Political Leaders in Egypt,Political Leaders in Egypt_neg
