,Date,Open,High,Low,Close,Adj Close,Type
0,2016-02-22,7.6808,7.8347,7.6797,7.6818,7.6818,USD
1,2016-02-23,7.8074,7.8157,7.7996,7.8064,7.8064,USD
2,2016-02-24,7.8051,7.8173,7.7992,7.8037,7.8037,USD
3,2016-02-25,7.8095,7.8161,7.7982,7.8099,7.8099,USD
4,2016-02-26,7.8032,7.8171,7.799,7.8042,7.8042,USD
5,2016-02-29,7.7638,7.8161,7.7475,7.7631,7.7631,USD
6,2016-03-01,7.806,7.8158,7.7977,7.8064,7.8064,USD
7,2016-03-02,7.8049,7.8156,7.7989,7.8045,7.8045,USD
8,2016-03-03,7.8064,7.8155,7.7979,7.8068,7.8068,USD
9,2016-03-04,7.8094,7.8212,7.7859,7.8073,7.8073,USD
10,2016-03-07,7.686,7.8232,7.685,7.6874,7.6874,USD
11,2016-03-08,7.8075,7.8156,7.7988,7.8095,7.8095,USD
12,2016-03-09,7.8042,7.8207,7.7985,7.8038,7.8038,USD
13,2016-03-10,7.8073,7.8156,7.7935,7.8097,7.8097,USD
14,2016-03-11,7.8095,7.8169,7.7971,7.8089,7.8089,USD
15,2016-03-14,7.6537,8.9364,7.6537,7.6522,7.6522,USD
16,2016-03-15,8.9286,8.9371,8.9181,8.9272,8.9272,USD
17,2016-03-16,8.9255,8.9362,8.8553,8.9255,8.9255,USD
18,2016-03-17,8.8561,8.9,8.8486,8.8539,8.8539,USD
19,2016-03-18,8.8604,8.8662,8.8488,8.8579,8.8579,USD
20,2016-03-21,8.8528,8.8661,8.8458,8.852,8.852,USD
21,2016-03-22,8.8604,8.866,8.848,8.8597,8.8597,USD
22,2016-03-23,8.8576,8.8683,8.7474,8.8584,8.8584,USD
23,2016-03-24,8.8594,8.8659,8.7522,8.8586,8.8586,USD
24,2016-03-25,8.8697,8.8776,8.7272,8.8741,8.8741,USD
25,2016-03-28,8.8752,8.8791,8.6933,8.8748,8.8748,USD
26,2016-03-29,8.8428,8.8664,8.84,8.8404,8.8404,USD
27,2016-03-30,8.86,8.8766,8.7498,8.8569,8.8569,USD
28,2016-03-31,8.8595,8.8663,8.8484,8.8575,8.8575,USD
