"ï..Indicator","Unit","Governorate","Region","Year","Agriculture","Crude.Petroleum.Extraction","Other.extractions","Petroleum.Refinement","Manufacturing.Industries","Electricity.and.Gas","Water","Sewerage","Waste.Recycling","Construction","Whole.sale.and.Retail.Trade","Communication","Information","Transportation.and.Storage","Accommodation.and.Food.Service.Activities","Real.Estate.Ownership","Business.Services","Education","Health","Other.Services","Non.Financial.Corporations","Financial.Corporations","General.Government","Non.Profit.Institutions.Serving.House.hold.Sector","DomesticWorkers","Total.Governorate.GDP"
"Regional accounts , GDP by governorate","One thousand EGP","Luxor","South Upper Egypt","2016/2015",1509778.08,0,14048.23,0,685481.19,0,97224.99,0,9034.83,1609948.17,650981.57,2888.89,67.85,490906.25,258949.78,739715.19,188649.03,247849.28,220975.96,42988.97,6769488.27,754336.19,1803369.86,2996.97,7039.59,9337230.89
"Regional accounts , GDP by governorate","One thousand EGP","Sohag","South Upper Egypt","2016/2015",13460090.16,0,34572.43,0,1866717.39,0,362653.67,0,18071.08,9800094.59,5274857.11,12533.2,2778.6,1545964.14,244351.11,3863004.72,307922.42,463374.91,1107453.17,191005.31,38555444.01,3091815.99,5629897.27,15978.94,8833.99,47301970.21
"Regional accounts , GDP by governorate","One thousand EGP","Qena","South Upper Egypt","2016/2015",6161008.55,0,49520.6,0,4485418.92,0,934044.73,0,9034.83,6774143.73,4787973,12328.41,196.41,1176859.06,375308.78,2262814.41,347002.75,255117.51,550723.85,316336.37,28497831.92,1955594.08,4207268.93,39123.41,13232.59,34713050.93
"Regional accounts , GDP by governorate","One thousand EGP","Red Sea","South Upper Egypt","2016/2015",872165.47,43969376.11,7555.64,0,88635.33,15281.63,160502.6,0,0,237388.94,754536.53,2396.11,1959.9,330054.04,3879703.92,733358.58,296841.87,210490.51,236451.47,35870.78,51832569.45,240864.86,723719.52,12516,28686.56,52838356.39
"Regional accounts , GDP by governorate","One thousand EGP","Total South Upper Egypt","South Upper Egypt","2016/2015",24792730.13,43969376.11,1654490.87,0,8865703.75,1325565.59,2218227.21,0,36140.75,19801040.29,13878846.9,37000.15,5599.27,4462870.72,4962968.15,8869405.76,1434916.04,1344797.99,3090640.94,708351.76,141458672.37,8174553.71,15204037.45,80792.63,79859.31,164997915.46
"Regional accounts , GDP by governorate","One thousand EGP","Gharbia","Delta","2016/2015",18471594.96,0,36621.93,1001648.81,12801358.08,1312684.8,488421.48,0,40658.87,5356765.74,12203070.95,20511.26,8052.28,3092192.29,416243.24,5551108.6,446244.79,2411995.16,1851437.8,600122.65,66110733.7,6885454.44,8690284.26,83677.18,86059.67,81856209.24
"Regional accounts , GDP by governorate","One thousand EGP","Menoufia","Delta","2016/2015",16645276.32,0,23066.73,50618.67,14791144.5,0,491836.41,0,9034.83,4059101.57,5203939.84,32198.48,1424.81,1967971.66,408081.9,3937413.02,199516.17,1740655.95,914093.67,265141.97,50740516.51,5203908.75,7076000.46,16453.78,37513.19,63074392.69
"Regional accounts , GDP by governorate","One thousand EGP","Kafr ElSheikh","Delta","2016/2015",34666728.21,4724162.6,22452.88,877.12,3575238.37,0,1002431.78,0,0,3005082.09,4423313.71,11974.63,963.3,1721520.83,188066.52,3442801.03,175628.93,1110165.07,508915.08,216369.37,58796691.5,1747254.19,4550701.6,12660.96,50753.14,65158061.39
"Regional accounts , GDP by governorate","One thousand EGP","Dakahlia","Delta","2016/2015",31369009.33,5103295.15,20682.43,106.32,7268114.82,848428.7,343230.97,0,22587.79,8278189.51,10836424.18,36058.58,3987.1,7310055.91,382152.12,6887874.8,585564.43,2618871.01,1678767.15,442825.71,84036226.02,5692278.85,11012235.11,42331.92,185357.45,100968429.36
"Regional accounts , GDP by governorate","One thousand EGP","Damietta","Delta","2016/2015",4896269.68,0,14309479.2,0,5600416.14,0,253803.11,0,0,1147944.92,3670965.95,1363.95,773.17,1846422.03,238256.51,1622408.58,89079.68,628926.24,334632.87,151011.55,34791753.59,2698496.89,2574545.49,18462.62,24273.24,40107531.83
"Regional accounts , GDP by governorate","One thousand EGP","Total Delta region","Delta","2016/2015",106048878.51,9827457.75,14412303.17,1053250.92,44036271.91,2161113.5,2579723.74,0,72281.5,21847083.83,36337714.63,102106.9,15200.66,15938162.72,1632800.29,21441606.02,1496034.01,8510613.43,5287846.58,1675471.25,294475921.32,22227393.13,33903766.92,173586.46,383956.68,351164624.51
"Regional accounts , GDP by governorate","One thousand EGP","Total Egypt","Total Egypt","2016/2015",317987433.16,178542535,39480093.49,76045603.18,366324761.64,19865246.81,13509598.04,0,1721229.85,156949511.79,365935991.94,61049437,8851140.52,179311462.96,53692358.42,201488234.09,85228909.41,54145383,66127744.98,15161864.33,2261418539.62,132279723.87,276487700,8476600,2623700.01,2681286263.49
"Regional accounts , GDP by governorate","One thousand EGP","Cairo","Greater Cairo","2015/2014",6654360.36,532439.86,17508192.55,10878837.62,110910185.31,6089392.77,1353989.49,0,1149184.8,32521679.2,163449490.7,33370147.1,5428793.57,57181885.04,28609367.92,97849492.18,56016282.34,13110724.96,25465571.83,4099298.75,672179316.34,36954747.23,133567482.21,3840411.74,619637.01,847161594.53
"Regional accounts , GDP by governorate","One thousand EGP","Giza","Greater Cairo","2015/2014",11951156.38,0,53772.71,31289.51,39293495.16,793937.63,1375462.2,0,43439.37,10763331.99,31093635.82,19883388.21,2001077.45,5805866.88,6832261.07,9073998.41,9235536.38,6454696.51,6260420.21,1343218.35,162289984.25,15088186.23,14656239.5,835985.66,273629.36,193144024.99
"Regional accounts , GDP by governorate","One thousand EGP","Qalyubia","Greater Cairo","2015/2014",9181307.22,0,48485.45,3647692.76,21201872.89,0,181425.03,0,47388.86,5805739.86,5071271.89,25857.22,1260.18,3512395.48,612550.65,4830113.4,318041.19,4595706.42,1327601.93,347544.93,60756255.36,5600299.21,5448954.16,83533.22,127104.46,72016146.41
"Regional accounts , GDP by governorate","One thousand EGP","Total Greater Cairo region","Greater Cairo","2015/2014",27786823.96,532439.86,17610450.71,14557819.88,171405553.36,6883330.4,2910876.72,0,1240013.03,49090751.06,199614398.41,53279392.54,7431131.2,66500147.4,36054179.64,111753603.98,65569859.92,24161127.89,33053593.97,5790062.03,895225555.95,57643232.67,153672675.87,4759930.62,1020370.82,1112321765.93
"Regional accounts , GDP by governorate","One thousand EGP","Asyut","Central Upper Egypt","2015/2014",12479656.11,0,2181.94,2934889.16,6341300.41,0,218885.34,0,0,6724022.31,4377550.57,10859.83,2720.26,1619993.88,183377.79,2644924.17,166565.22,605807.4,847699.52,102899.28,39263333.2,3653708.34,5884148.85,17442.62,21184.32,48839817.34
"Regional accounts , GDP by governorate","One thousand EGP","New Valley","Central Upper Egypt","2015/2014",247551.41,629583.07,5508.21,0,105185.91,0,8864.54,0,0,80658.1,393037.03,287.51,48.91,64629.3,21599.76,153773.41,10059.93,54282.21,108037.19,9840.08,1892946.6,579322.77,1072589.29,1771.23,0,3546629.89
"Regional accounts , GDP by governorate","One thousand EGP","Total Central Upper Egypt","Central Upper Egypt","2015/2014",12727207.52,629583.07,7690.15,2934889.16,6446486.32,0,227749.89,0,0,6804680.41,4770587.61,11147.34,2769.17,1684623.18,204977.54,2798697.58,176625.16,660089.62,955736.72,112739.36,41156279.8,4233031.11,6956738.14,19213.86,21184.32,52386447.23
"Regional accounts , GDP by governorate","One thousand EGP","Suez","Suez Canal","2015/2014",950208.48,0,78724.87,3581182.08,8896770.19,359172.6,230857.83,0,23694.43,549837.52,1096964.09,10382.38,4179.2,1404577.67,334388.49,985220.92,58763.25,598778.68,451500.9,63205.46,19678409.06,1145664.12,1674678.56,5995.74,3530.72,22508278.2
"Regional accounts , GDP by governorate","One thousand EGP","Ismailia","Suez Canal","2015/2014",5698605.74,0,182565.32,0,2693271.03,2866755.58,91149.07,0,0,1277745.71,1255563.81,9855.38,10742.89,792238.05,645338.64,1173553.14,260717.26,402281.49,259388.69,161164.9,17780936.7,1523970.4,1756179.62,57227.94,59049.02,21177363.68
"Regional accounts , GDP by governorate","One thousand EGP","Sharqia","Suez Canal","2015/2014",32542709.16,0,116276.8,521.98,21931390.32,3139.02,322274.63,0,43440.62,4720310.64,10385647.76,14547.25,14093.98,3074510.13,356582.15,5497349.14,457662.52,2338525.75,1341919.82,411180.2,83572081.87,3974550.11,9930921.06,129041.97,57127.59,97663722.6
"Regional accounts , GDP by governorate","One thousand EGP","Port Said","Suez Canal","2015/2014",3897902.99,15955752.36,19393.45,0,3779505.1,472027.66,369187.52,0,0,342736.59,1542607.21,73439.66,5224.05,5954632.85,389749.58,1497810.94,211577.19,336765.59,275370.59,154387.04,35278070.39,1295347.67,1750738.51,45967.78,58256.89,38428381.23
"Regional accounts , GDP by governorate","One thousand EGP","North Sinai","Suez Canal","2015/2014",511819.21,18989583.42,174196.77,0,1085960.57,0,32665.6,0,0,382453.47,557424.45,1023.46,500.22,254742.17,57271.77,360071.8,17411.47,99464.92,73673.82,26059.44,22624322.57,414563.55,1502544.02,3913.31,879,24546222.46
"Regional accounts , GDP by governorate","One thousand EGP","South Sinai","Suez Canal","2015/2014",176017.94,35259400.51,73946.76,0,121474.02,3376.73,74776.17,0,0,308847.52,1501907.13,2783.53,1148.78,425479.79,9005743.91,178890.27,451450.4,129646.07,254254.39,186694.87,48155838.8,192003.88,396922.47,43932.03,4417.08,48793114.26
"Regional accounts , GDP by governorate","One thousand EGP","Total Suez Canal region","Suez Canal","2015/2014",43777263.53,70204736.3,645103.97,3581704.06,38508371.24,3704471.58,1120910.82,0,67135.05,7581931.46,16340114.46,112031.67,35889.13,51309280.66,10789074.53,9692896.21,1457582.09,3905462.51,2656108.21,1002691.92,266492759.38,8546099.73,17011984.25,286078.76,183260.29,292520182.42
"Regional accounts , GDP by governorate","One thousand EGP","Beheira","Alexandria","2015/2014",32723675.96,1539557.79,95652.69,0,2397051.29,2161819.6,1581134.33,0,27642.67,4588718.16,6764660.93,24839.02,123.18,2887060.6,436826.87,4950410.19,235649.83,1222209.58,804570.55,355349.42,62796952.66,3701083.8,6219077.19,28331.95,60022.25,72805467.84
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2015/2014",8304667.06,2271.74,1012548.89,18729549.09,38998558.34,2369934.41,1298689.95,0,31593.4,6736453.66,24176598.68,97881.74,96289.63,10698553.57,6347493.06,6074202.56,1366028.32,5068823.56,9740249.44,2675620.91,143826008,7942589.02,7590048.52,2031015.44,317761.89,161707422.85
"Regional accounts , GDP by governorate","One thousand EGP","Matruh","Alexandria","2015/2014",1798451.65,106102166.34,143688.92,0,178557.77,0,158601.25,0,0,594783.22,1744683.39,6199.79,61.31,273289.51,202020.14,395557.62,39334.46,90941.15,40854.87,23900.1,111793091.47,211362.58,595505.05,1023.06,10592.16,112611574.32
"Regional accounts , GDP by governorate","One thousand EGP","Total Alexandria region","Alexandria","2015/2014",42826794.67,107643995.86,1251890.5,18729549.09,41574167.4,4531754.01,3038425.53,0,59236.07,11919955.04,32685943,128920.55,96474.12,13858903.68,6986340.06,11420170.37,1641012.6,6381974.29,10585674.86,3054870.43,318416052.12,11855035.4,14404630.75,2060370.45,388376.29,347124465.01
"Regional accounts , GDP by governorate","One thousand EGP","Fayoum","North Upper Egypt","2015/2014",13416888.81,18276599.69,5243.69,0,1222047.45,0,875063.46,0,35541.64,6296851.4,2557232.89,8520.38,5805,1171446.74,316890.73,2468434.7,147032.61,570255.81,492142.24,146169.35,48012166.57,1176358.46,3215847.93,25672.51,68849.05,52498894.52
"Regional accounts , GDP by governorate","One thousand EGP","Beni Suef","North Upper Egypt","2015/2014",7118677.16,0,15016.91,0,2624690.85,0,256645.11,0,0,3595581.91,3237896.43,3463.64,2185.51,1344827.39,131929.13,2154117.32,87041.92,826526.78,468823.36,84273.37,21951696.8,2338538.62,3255912.37,10276.01,15888.24,27572312.03
"Regional accounts , GDP by governorate","One thousand EGP","Minya","North Upper Egypt","2015/2014",15859564.23,0,605511.48,0,4654156.29,1408424.35,221970.83,0,7897.73,5724446.64,5482537.69,16926.96,12688.14,1538866.75,417687.12,4069061.9,235684.67,728907.22,918595.18,274681.89,42177609.07,3244128.32,5954675.4,54979.54,30011.12,51461403.44
"Regional accounts , GDP by governorate","One thousand EGP","Total North Upper Egypt region","North Upper Egypt","2015/2014",36395130.2,18276599.69,625772.08,0,8500894.59,1408424.35,1353679.4,0,43439.37,15616879.94,11277667.02,28910.98,20678.64,4055140.89,866506.98,8691613.92,469759.2,2125689.81,1879560.78,505124.6,112141472.44,6759025.4,12426435.7,90928.05,114748.41,131532610
"Regional accounts , GDP by governorate","One thousand EGP","Aswan","South Upper Egypt","2015/2014",2437596.61,0,1322790.89,0,1436476.92,1269294.42,527508.73,0,0,1180223.78,2030936.97,6042.37,511.55,779540.97,232345.35,1075865.7,249513.99,147545.21,831141.66,103291.69,13630626.8,1865333.4,2479945.54,8921,17653.6,18002480.34
"Regional accounts , GDP by governorate","One thousand EGP","Luxor","South Upper Egypt","2015/2014",1312895.92,0,12079.37,0,572228.89,0,51162.88,0,7897.73,1384726.02,538636,2506.56,58.54,415816.71,296400.59,626483.98,160227.92,222732.24,190010.87,35515.28,5829379.49,660289.29,1529216.6,2627.03,5631.78,8027144.2
"Regional accounts , GDP by governorate","One thousand EGP","Sohag","South Upper Egypt","2015/2014",11758243.47,0,29504.39,0,1590817.78,0,296468.36,0,15796.7,8433856.36,4410796.79,11060.86,2415.33,1311733.18,263664.22,3271403.98,253166.33,398857.12,949665.49,162818.61,33160268.99,2705839.35,5119717.86,14006.48,7067.33,41006900.01
"Regional accounts , GDP by governorate","One thousand EGP","Qena","South Upper Egypt","2015/2014",5366774.92,0,44263.96,0,3657077.28,0,455213.12,0,7897.73,5834288.1,3999067.69,10953.1,170.66,997923.92,409384.45,1916419.73,291771.85,226924.86,469835.11,262182.07,23950148.58,1711636.65,3853916.46,34293.97,10586.27,29560581.94
"Regional accounts , GDP by governorate","One thousand EGP","Red Sea","South Upper Egypt","2015/2014",762550.47,69532012.86,6993.51,0,75005.69,14856.46,78091.42,0,0,204464.23,618485.4,2103.1,1704.68,279734.77,4565864.34,621115.33,252302.45,177060.03,200604.19,28945.72,77421894.64,210803.74,605568.51,10971.01,22949.68,78272187.58
"Regional accounts , GDP by governorate","One thousand EGP","Total South Upper Egypt","South Upper Egypt","2015/2014",21638061.39,69532012.86,1415632.13,0,7331606.57,1284150.87,1408444.51,0,31592.16,17037558.49,11597922.85,32666,4860.75,3784749.55,5767658.95,7511288.72,1206982.55,1173119.45,2641257.33,592753.37,153992318.51,7153902.43,13588364.97,70819.5,63888.66,174869294.07
"Regional accounts , GDP by governorate","One thousand EGP","Gharbia","Delta","2015/2014",16047048.46,0,34180.56,531648.76,10906285.96,1277830.7,447639.75,0,35541.64,4605212.05,10286880.68,18158.47,6948.36,2619650.21,456285.94,4697653.64,366836.28,2141343.47,1579085.71,499794.47,56558025.11,6024848.4,8004042.01,73347.98,68849.05,70729112.55
"Regional accounts , GDP by governorate","One thousand EGP","Menoufia","Delta","2015/2014",14466296,0,19891.62,26867.06,12420836.52,0,422716.19,0,7897.73,3495130.46,4354845.82,28545.59,1223.56,1667337.07,457838.81,3334158.49,164654.63,1554512.09,780120.86,222756.02,43425628.52,4553666.75,6500756.14,14422.71,30011.12,54524485.25
"Regional accounts , GDP by governorate","One thousand EGP","Kafr ElSheikh","Delta","2015/2014",30399931.72,7462302.91,21090.92,465.55,2961566.24,0,813375.94,0,0,2582086.54,3680436.45,10457.43,821.98,1459324.55,214782.4,2916009.13,145181.86,992449.32,435352.96,184150.95,54279786.83,1529970.44,4150355.58,11098.08,40603.28,60011814.22
"Regional accounts , GDP by governorate","One thousand EGP","Dakahlia","Delta","2015/2014",27424687.07,8062029.46,19393.45,56.43,6113342.1,806738.08,271598.11,0,19744.94,7085680.05,9097234.31,32074.12,3441.56,6201247.69,413394.73,5832644.5,482178.15,2337390.24,1439565.82,366582.32,76009023.14,4982836.79,10258279.11,37106.42,148288.78,91435534.24
"Regional accounts , GDP by governorate","One thousand EGP","Damietta","Delta","2015/2014",4278355.48,0,12293703.91,0,4796889.7,0,155783.14,0,0,979834.53,3082869.41,1195.3,661.51,1561895.12,258160.42,1374063.47,75027.58,552341.31,285742.79,126174.52,29822698.16,2360450.88,2313737.49,16183.57,19418.96,34532489.06
"Regional accounts , GDP by governorate","One thousand EGP","Total Delta region","Delta","2015/2014",92616318.74,15524332.37,12388260.46,559037.8,37198920.52,2084568.78,2111113.13,0,63184.32,18747943.62,30502266.66,90430.9,13096.98,13509454.63,1800462.3,18154529.22,1233878.49,7578036.43,4519868.14,1399458.28,260095161.77,19451773.26,31227170.33,152158.76,307171.2,311233435.31
"Regional accounts , GDP by governorate","One thousand EGP","Total Egypt","Total Egypt","2015/2014",277767600,282343700,33944800,40363000,310966000,19896700,12171200,0,1504600,126799700,306788900,53683499.98,7604900,154702300,62469200,170022800,71755700,45985500,56291800,12457700,2047519599.97,115642100,249288000,7439500,2099000,2421988199.97
"Regional accounts , GDP by governorate","One thousand EGP","Cairo","Greater Cairo","2014/2013",5663120.49,607932.24,15732384.15,-1573484.51,96021953.61,6420223.33,812633.98,255528.66,1030111.35,25033812.13,152830924.01,32433677.53,4793573.94,48876147.64,23980610.14,80618564.52,48626036.66,11317859.87,22089245.44,4065243.76,579636098.93,31609963.99,113530102,3374699.87,505008.59,728655873.38
"Regional accounts , GDP by governorate","One thousand EGP","Giza","Greater Cairo","2014/2013",9323580.93,0,47523.34,30029.75,35360066.37,866738.12,1158345.83,42576.42,38938.38,9401862.38,25801981.03,19188887.17,1737980.66,4958211.34,5693195.26,8299990.99,8010823.94,5527506.91,5324919.95,1306535.07,142119693.81,12937783.41,12218493,734608.91,223009.88,168233589.01
"Regional accounts , GDP by governorate","One thousand EGP","Qalyubia","Greater Cairo","2014/2013",7200512.22,0,43742.85,-9387777.16,18824691.49,0,132410.66,10030.36,42478.63,4632328.17,3414813.44,25057.67,1110.83,2989845.97,509402.01,4450077.85,276034.94,3967080.4,1138282.83,350313.04,38620436.19,4795561.42,4804912,73403.47,103591.04,48397904.12
"Regional accounts , GDP by governorate","One thousand EGP","Total Greater Cairo region","Greater Cairo","2014/2013",22187213.63,607932.24,15823650.34,-10931231.93,150206711.47,7286961.44,2103390.48,308135.44,1111528.36,39068002.68,182047718.48,51647622.38,6532665.43,56824204.94,30183207.41,93368633.36,56912895.54,20812447.17,28552448.22,5722091.86,760376228.93,49343308.82,130553507,4182712.24,831609.51,945287366.51
"Regional accounts , GDP by governorate","One thousand EGP","Asyut","Central Upper Egypt","2014/2013",10659544.28,0,1968.93,-3262329.59,6217320.24,0,188006.89,7926.09,0,5363898.87,2932570.81,10523.08,2438.65,1378176.28,155492.54,2358980.52,144614.92,524731.49,711838.45,103029.21,27498731.66,3128686.9,5002629,15327.42,17265.37,35662640.36
