"ï..Indicator","Unit","Governorate","Region","Year","Agriculture","Crude.Petroleum.Extraction","Other.extractions","Petroleum.Refinement","Manufacturing.Industries","Electricity.and.Gas","Water","Sewerage","Waste.Recycling","Construction","Whole.sale.and.Retail.Trade","Communication","Information","Transportation.and.Storage","Accommodation.and.Food.Service.Activities","Real.Estate.Ownership","Business.Services","Education","Health","Other.Services","Non.Financial.Corporations","Financial.Corporations","General.Government","Non.Profit.Institutions.Serving.House.hold.Sector","DomesticWorkers","Total.Governorate.GDP"
"Regional accounts , GDP by governorate","One thousand EGP","Cairo","Greater Cairo","2016/2015",7713050.23,336595.54,20388128.4,20496191.28,129617476.72,6000408.16,655588.96,0,1314642.53,45328932.92,195222069.69,38339304.69,6344051.51,69124877.99,24493079.03,116226730.07,66318498.9,16056355.02,30056276.38,5120189.18,799152447.19,42248215.48,149777924.44,4381236.27,774531.5,996334354.87
"Regional accounts , GDP by governorate","One thousand EGP","Giza","Greater Cairo","2016/2015",13720510.15,0,63787.5,58950.76,46219952.12,748253.09,1645457.46,0,49693.71,13420602.12,37075432.9,22223843.8,2304188.51,6852314.45,5819799.3,10719610.7,11112918.48,7875998.26,7354926.94,1638487.79,188904728.05,17352073.83,15987429.94,953713.02,342030.18,223539975.02
"Regional accounts , GDP by governorate","One thousand EGP","Qalyubia","Greater Cairo","2016/2015",10582517.75,0,51708.12,6872407.8,24970686.44,0,76769.94,0,54211.83,6749747.5,6112462.27,29296.06,1467.77,4141083.1,579295.65,5704077.71,392845.62,5443468.66,1548588.16,418643.3,73729277.68,6401500.27,6026419.15,95296.75,158877.55,86411371.4
"Regional accounts , GDP by governorate","One thousand EGP","Total Greater Cairo region","Greater Cairo","2016/2015",32016078.13,336595.54,20503624.03,27427549.83,200808115.28,6748661.25,2377816.36,0,1418548.07,65499282.53,238409964.86,60592444.55,8649707.8,80118275.54,30892173.98,132650418.48,77824263,29375821.94,38959791.48,7177320.28,1061786452.92,66001789.58,171791773.53,5430246.04,1275439.23,1306285701.29
"Regional accounts , GDP by governorate","One thousand EGP","Asyut","Central Upper Egypt","2016/2015",14268501.25,0,2529.34,5529455.61,7275277.29,0,295136.41,0,0,7830986.86,5223405.07,12300.53,3210.09,1909793.74,174805.93,3130500.97,200710.83,688796.62,989070.87,121091.46,47655572.88,4174981.95,6428189.26,19898.97,26479.9,58305122.96
"Regional accounts , GDP by governorate","One thousand EGP","New Valley","Central Upper Egypt","2016/2015",293503.43,398007.12,6408.27,0,123347.27,0,22503.48,0,0,96940.03,465549.91,322.49,57.51,76237.12,20501.55,181564.64,11851.88,60348.58,125834.28,11733.86,1894711.41,661964.46,1249017.32,2020.66,0,3807713.85
"Regional accounts , GDP by governorate","One thousand EGP","Total Central Upper Egypt","Central Upper Egypt","2016/2015",14562004.67,398007.12,8937.62,5529455.61,7398624.55,0,317639.89,0,0,7927926.89,5688954.98,12623.02,3267.6,1986030.85,195307.48,3312065.61,212562.71,749145.2,1114905.15,132825.32,49550284.29,4836946.41,7677206.58,21919.63,26479.9,62112836.81
"Regional accounts , GDP by governorate","One thousand EGP","Suez","Suez Canal","2016/2015",1096876.34,0,92111.11,6747098.86,10340624.68,360173.55,352888.43,0,27105.91,643547.23,1307059.85,11785.32,4882.38,1665266.78,295708.07,1163751.79,69255.78,674886.54,525907.52,75927.04,25454857.2,1309170.75,1901467.28,6840.08,4413.32,28676748.63
"Regional accounts , GDP by governorate","One thousand EGP","Ismailia","Suez Canal","2016/2015",6514085.14,0,212577.02,0,3193875.82,2888277.04,170442.84,0,0,1622870.01,1496125.17,12685.56,12345.23,934308.07,595633.32,1386682.1,308112.74,456940.91,303869.37,198675.83,20307506.15,1742083.42,1982723.84,65287.04,73809.86,24171410.32
"Regional accounts , GDP by governorate","One thousand EGP","Sharqia","Suez Canal","2016/2015",37192661.03,0,134466.79,983.43,26947351.12,3310.27,-222.48,0,49695.12,5494801.34,12292970.05,16353.24,16266.94,3624492.07,350281.07,6491910.15,551421.47,2628396,1570415.17,497679.89,97863232.69,4540910.51,10729677.24,147214.26,71408.12,113352442.81
"Regional accounts , GDP by governorate","One thousand EGP","Port Said","Suez Canal","2016/2015",4441188.44,10089064.36,20682.43,0,4655583.02,487739.58,526064.93,0,0,496950.22,1840326.85,81987.76,6061.12,7069464.98,345753.79,1769341.99,254189.9,380554.65,324385.75,189326.08,32978665.85,1480739.3,1933544.18,52441.17,72819.72,36518210.23
"Regional accounts , GDP by governorate","One thousand EGP","North Sinai","Suez Canal","2016/2015",590414.6,12019349.11,200639.68,0,1263873.43,0,38376.67,0,0,457935.05,663574.98,1149.94,580.05,300609.06,51844.63,425166.51,20538.72,114802.82,86117.11,31693.95,16266666.33,473489.51,1668876.89,4464.4,1098.73,18414595.86
"Regional accounts , GDP by governorate","One thousand EGP","South Sinai","Suez Canal","2016/2015",204852.01,22277471.79,87961.13,0,141298.82,3539.19,120825.1,0,0,358646.53,1806099.05,3122.23,1322.55,501696.04,7696307.24,211300.36,533379.15,170291.5,297714.99,227615.81,34643443.49,219409.23,472592.52,50118.74,5521.25,35391085.23
"Regional accounts , GDP by governorate","One thousand EGP","Total Suez Canal region","Suez Canal","2016/2015",50040077.56,44385885.25,748438.17,6748082.3,46542606.9,3743039.62,1208375.49,0,76801.03,9074750.38,19406155.95,127084.04,41458.27,55310427.15,9335528.12,11448152.91,1736897.77,4425872.42,3108409.92,1220918.59,268728961.85,9765802.72,18688881.96,326365.69,229070.99,297739083.22
"Regional accounts , GDP by governorate","One thousand EGP","Beheira","Alexandria","2016/2015",37318345.69,973271.03,106577.29,0,2878922.66,2102802.77,1604339.1,0,31622.63,5332872.45,8069773.32,27987.25,142.61,3405607.28,393965.64,5845115.45,284456.27,1374244.96,938195.42,420309.79,71108551.62,4229252.23,6834646.27,32321.79,75026.38,82279798.29
"Regional accounts , GDP by governorate","One thousand EGP","Alexandria","Alexandria","2016/2015",9510616.44,1436.14,1195465.23,35287264.53,45663462.17,2341588.79,1138503.77,0,36142.16,8615789.28,28635461.4,110821.15,111726.93,12985279.26,5317524.46,7186313.16,1622786.62,5837064.69,11385805.7,3197712.69,180180764.55,9080042.83,7991857.7,2306467.67,397194.79,199956327.55
"Regional accounts , GDP by governorate","One thousand EGP","Matruh","Alexandria","2016/2015",2141925.95,67094814.72,167480.94,0,212603.42,0,234867.84,0,0,695331.12,2068688.22,6983.87,71.18,322021.18,177697.73,467048.18,50096.92,102778.92,47958.98,30184.25,73820553.42,241354.63,689364.13,1167.13,13239.95,74765679.25
"Regional accounts , GDP by governorate","One thousand EGP","Total Alexandria region","Alexandria","2016/2015",48970888.08,68069521.89,1469523.46,35287264.53,48754988.25,4444391.56,2977710.71,0,67764.79,14643992.85,38773922.94,145792.27,111940.72,16712907.73,5889187.84,13498476.79,1957339.81,7314088.56,12371960.1,3648206.72,325109869.59,13550649.69,15515868.1,2339956.59,485461.12,357001805.09
"Regional accounts , GDP by governorate","One thousand EGP","Fayoum","North Upper Egypt","2016/2015",15306958.82,11555691.32,6184.8,0,1463852.59,0,1038804.08,0,40658.87,7311107.15,3070970.93,9541.76,6719.83,1379846.42,282544.46,2914743.2,173195.15,640476.89,574348.84,172269.76,45947914.87,1343481.44,3577419.47,29287.83,86059.67,50984163.27
"Regional accounts , GDP by governorate","One thousand EGP","Beni Suef","North Upper Egypt","2016/2015",8143175.02,0,17534.22,0,3081453.9,0,486147.64,0,0,4185912.7,3841501.88,3908.93,2533.39,1586091.7,126520.81,2548633.98,104003.18,943001.89,547334.38,101987.51,25719741.14,2672466.86,3621194.84,11723.12,19859.92,32044985.89
"Regional accounts , GDP by governorate","One thousand EGP","Minya","North Upper Egypt","2016/2015",18106642.23,0,659057.15,0,5373144.52,1442475.3,305152.93,0,9034.83,6658415.17,6527958.87,18935.37,14713,1816850.13,375327.28,4804731.35,289697.75,841564.69,1072507.59,324513.13,48640721.27,3706640.33,6507551.15,62722.01,37513.19,58955147.95
"Regional accounts , GDP by governorate","One thousand EGP","Total North Upper Egypt region","North Upper Egypt","2016/2015",41556776.08,11555691.32,682776.17,0,9918451,1442475.3,1830104.64,0,49693.71,18155435.02,13440431.67,32386.06,23966.21,4782788.25,784392.55,10268108.53,566896.08,2425043.46,2194190.81,598770.4,120308377.28,7722588.63,13706165.46,103732.96,143432.78,141984297.11
"Regional accounts , GDP by governorate","One thousand EGP","Aswan","South Upper Egypt","2016/2015",2789687.87,0,1548793.97,0,1739450.91,1310283.95,663801.22,0,0,1379464.86,2410498.7,6853.53,596.51,919087.24,204654.55,1270512.85,294499.96,167965.78,975036.48,122150.33,15803338.71,2131942.58,2839781.86,10177.3,22066.58,20807307.04
