,date,Tweet,Reply,retweetCount,Likes,Quote,lang,Coordinates,Country,hashtags
0,2021-12-30 06:56:34+00:00,"SO it's not only in Lebanon that we have an $80billion hole lost in translation!
With one difference the Chinese Tech MOGULS INVESTED &amp; LOST THEIR OWN MONEY
In Lebanon the mafia along with the militia LOST/SPENT ""OUR MONEY OUR SAVINGS"" 
#lebanon #economy #corruption #occupation https://t.co/vm3uDLVdLt",0,0,2,0,en,"{'longitude': 35.0757711, 'latitude': 33.054742}","{'fullName': 'Lebanon', 'name': 'Lebanon', 'type': 'country', 'country': 'Lebanon', 'countryCode': 'LB'}","['lebanon', 'economy', 'corruption', 'occupation']"
1,2021-12-28 12:31:43+00:00,âA perfect stormâ: #supplychaincrisis could blow #world #economy off course @SupplyChainLisa @OpsProf @mitsupplychain #COVID19 #Sustainability https://t.co/BPnEfqIOII,0,0,5,0,en,"{'longitude': 12.2344266, 'latitude': 41.6558738}","{'fullName': 'Rome, Lazio', 'name': 'Rome', 'type': 'city', 'country': 'Italy', 'countryCode': 'IT'}","['supplychaincrisis', 'world', 'economy', 'COVID19', 'Sustainability']"
2,2021-12-28 10:11:08+00:00,"South Africa, Nigeria, and Angola should look to their smaller neighbors. ""The #IMF says #Rwanda will hit 7% growth in 2022. #Benin should muster 6.5%. The #Seychelles, welcoming back tourists, could reach 8%."" #Politics #Development #Economy #Investment https://t.co/9MzE7WkImM",0,1,0,0,en,"{'longitude': 54.8939725, 'latitude': 24.6182526}","{'fullName': 'Dubai, United Arab Emirates', 'name': 'Dubai', 'type': 'admin', 'country': 'United Arab Emirates', 'countryCode': 'AE'}","['IMF', 'Rwanda', 'Benin', 'Seychelles', 'Politics', 'Development', 'Economy', 'Investment']"
3,2021-12-28 09:52:24+00:00,"""Hypothetically, it would take $100bn to make sure everyone on Earth had more than $1.90 a day. Aid and private #philanthropy could cover that sum twice over, with money to spare."" #Development #Governance #Economy https://t.co/HAOPw1lCCC",0,0,0,0,en,"{'longitude': 54.8939725, 'latitude': 24.6182526}","{'fullName': 'Dubai, United Arab Emirates', 'name': 'Dubai', 'type': 'admin', 'country': 'United Arab Emirates', 'countryCode': 'AE'}","['philanthropy', 'Development', 'Governance', 'Economy']"
4,2021-12-28 05:26:34+00:00,"Pakistan Economy
December inflation to reach 12.3% YoY
#pakistan #pakistaneconomy #pakistanstockexchange #kse100 #psx #stockmarket #stockmarketinvesting #trading #investing #emergingmarkets #frontiermarkets #roshandigitalaccount #stockbroker #insightsec #economy #inflation https://t.co/SczevPma83",0,1,3,0,en,"{'longitude': 66.99920830570514, 'latitude': 24.8488271699287}","{'fullName': 'Business and Finance Centre', 'name': 'Business and Finance Centre', 'type': 'poi', 'country': 'Pakistan', 'countryCode': 'PK'}","['pakistan', 'pakistaneconomy', 'pakistanstockexchange', 'kse100', 'psx', 'stockmarket', 'stockmarketinvesting', 'trading', 'investing', 'emergingmarkets', 'frontiermarkets', 'roshandigitalaccount', 'stockbroker', 'insightsec', 'economy', 'inflation']"
5,2021-12-27 06:40:54+00:00,#China will take longer than previously expected to surpass the #US as the world's largest #economy - According to a report by the British consultancy Cebr. https://t.co/fwba9PP1Cj,0,0,0,0,en,"{'longitude': 44.0270074, 'latitude': 17.3943899}","{'fullName': 'Najran, Kingdom of Saudi Arabia', 'name': 'Najran', 'type': 'city', 'country': 'Kingdom of Saudi Arabia', 'countryCode': 'SA'}","['China', 'US', 'economy']"
6,2021-12-26 19:15:26+00:00,"#Sustainability #economy
#economia #Italia #UAE 
@Economyae @ThaniAlZeyoudi
https://t.co/80zgco6G83",0,3,3,0,und,"{'longitude': 12.2344266, 'latitude': 41.6558738}","{'fullName': 'Rome, Lazio', 'name': 'Rome', 'type': 'city', 'country': 'Italy', 'countryCode': 'IT'}","['Sustainability', 'economy', 'economia', 'Italia', 'UAE']"
7,2021-12-21 14:52:51+00:00,"Long buried beneath heaps of sand and largely in disrepair, the #MiddleEast's once flourishing rail network is an embodiment of its #history and a good measure of renewed regional integration. #Transport #Technology #Politics #Geopolitics #Trade #Economy https://t.co/J5sNrNXlke",0,0,1,0,en,"{'longitude': 54.8939725, 'latitude': 24.6182526}","{'fullName': 'Dubai, United Arab Emirates', 'name': 'Dubai', 'type': 'admin', 'country': 'United Arab Emirates', 'countryCode': 'AE'}","['MiddleEast', 'history', 'Transport', 'Technology', 'Politics', 'Geopolitics', 'Trade', 'Economy']"
8,2021-12-20 22:44:27+00:00,#inflation #dollar #economy #Finance #Covid_19 https://t.co/Rd8Usi1q9l,0,0,0,0,und,"{'longitude': 12.2344266, 'latitude': 41.6558738}","{'fullName': 'Rome, Lazio', 'name': 'Rome', 'type': 'city', 'country': 'Italy', 'countryCode': 'IT'}","['inflation', 'dollar', 'economy', 'Finance', 'Covid_19']"
9,2021-12-16 11:26:46+00:00,"So Turkey's Central Bank has lowered again the interest rate to now 14% accompanied by this statement.
#economy #turkey #centralbank https://t.co/f6dKs8jk4B",0,0,1,0,en,"{'longitude': 28.6321043, 'latitude': 40.8027337}","{'fullName': 'Ä°stanbul, TÃ¼rkiye', 'name': 'Ä°stanbul', 'type': 'city', 'country': 'Turkey', 'countryCode': 'TR'}","['economy', 'turkey', 'centralbank']"
10,2021-12-15 23:49:57+00:00,"Democratic rule no. 1:
You should have millions in your account before committing a crime.
#economy #Inflation #poverty",0,0,0,0,en,"{'longitude': 28.6321043, 'latitude': 40.8027337}","{'fullName': 'Ä°stanbul, TÃ¼rkiye', 'name': 'Ä°stanbul', 'type': 'city', 'country': 'Turkey', 'countryCode': 'TR'}","['economy', 'Inflation', 'poverty']"
11,2021-12-15 15:36:40+00:00,"âMany people want the government to protect the consumer. A much more urgent problem is to protect the consumer from the government.â
Â 
#economy 
#usd
#Euro 
#enflasyon 
#BTC 
#Ethereum",0,0,2,0,en,"{'longitude': 28.6321043, 'latitude': 40.8027337}","{'fullName': 'Ä°stanbul, TÃ¼rkiye', 'name': 'Ä°stanbul', 'type': 'city', 'country': 'Turkey', 'countryCode': 'TR'}","['economy', 'usd', 'Euro', 'enflasyon', 'BTC', 'Ethereum']"
12,2021-12-14 13:40:37+00:00,"#Lebanese people interest must be above any politician interest. Our government must concentrate on stabilizing the #economy, collect regularly the #trash, find a #sustainable, #decentralized and comprehensive solution for #waste management and #electricity.",0,0,4,1,en,"{'longitude': 35.0757711, 'latitude': 33.054742}","{'fullName': 'Lebanon', 'name': 'Lebanon', 'type': 'country', 'country': 'Lebanon', 'countryCode': 'LB'}","['Lebanese', 'economy', 'trash', 'sustainable', 'decentralized', 'waste', 'electricity']"
13,2021-12-14 11:33:50+00:00,"@ELMAPhilanthro @RLMglobalhealth @TheENDFund @MohamedBinZayed @CNNAfrica @EllenAgler @gatesfoundation @Yaw_adjeiboakye The possibility of eradicating #NTDs possible and through innovative financing and partnership modalities such as that which contributed to this success. If replicated elsewhere the impacts on #healthcare, #education and #economy immense.",0,0,0,0,en,"{'longitude': 51.4477039, 'latitude': 25.2216}","{'fullName': 'Doha, Qatar', 'name': 'Doha', 'type': 'admin', 'country': 'Qatar', 'countryCode': 'QA'}","['NTDs', 'healthcare', 'education', 'economy']"
